,precision,recall,f1-score,support
backdoor,0.5,0.6111111111111112,0.55,18.0
benign,0.9991355890343294,1.0,0.9995676076348138,8091.0
credential,0.84,0.9545454545454546,0.8936170212765957,22.0
ddos,1.0,1.0,1.0,2017.0
dos,1.0,0.9965957446808511,0.9982949701619779,1175.0
ransomware,0.0,0.0,0.0,2.0
recon,1.0,0.9939393939393939,0.9969604863221885,660.0
shellshock,0.0,0.0,0.0,1.0
sql_injection,0.9090909090909091,0.7142857142857143,0.8,14.0
accuracy,0.9980833333333333,0.9980833333333333,0.9980833333333333,0.9980833333333333
macro avg,0.6942473886805821,0.6967197131736139,0.6931600094883973,12000.0
weighted avg,0.9980177769670027,0.9980833333333333,0.998020966562861,12000.0
