,precision,recall,f1-score,support
backdoor,0.0,0.0,0.0,5.0
benign,0.4838709677419355,0.8333333333333334,0.6122448979591837,90.0
credential,0.15,0.13636363636363635,0.14285714285714285,22.0
mimicry,0.3695652173913043,0.68,0.4788732394366197,25.0
mitm,0.0,0.0,0.0,13.0
procmon_benign,1.0,1.0,1.0,2.0
ransomware,0.0,0.0,0.0,3.0
recon,0.0,0.0,0.0,18.0
reverse_shell,0.0,0.0,0.0,4.0
samba,0.0,0.0,0.0,11.0
shellshock,0.0,0.0,0.0,22.0
sql_injection,0.0,0.0,0.0,10.0
accuracy,0.4311111111111111,0.4311111111111111,0.4311111111111111,0.4311111111111111
macro avg,0.16695301542777,0.22080808080808081,0.1861646066877455,225.0
weighted avg,0.2581667445846969,0.4311111111111111,0.3209632397559963,225.0
