,precision,recall,f1-score,support
backdoor,0.0,0.0,0.0,0.0
benign,0.29673590504451036,0.9009009009009009,0.44642857142857145,111.0
credential,0.0,0.0,0.0,175.0
mimicry,0.0,0.0,0.0,0.0
mitm,0.0,0.0,0.0,58.0
procmon_benign,0.0,0.0,0.0,24.0
ransomware,0.0,0.0,0.0,51.0
accuracy,0.2386634844868735,0.2386634844868735,0.2386634844868735,0.2386634844868735
macro avg,0.0423908435777872,0.1287001287001287,0.06377551020408163,419.0
weighted avg,0.07861022782802066,0.2386634844868735,0.11826628025912037,419.0
