,precision,recall,f1-score,support
backdoor,0.52,0.7222222222222222,0.6046511627906976,18.0
benign,0.9988864142538976,0.9977753058954394,0.998330550918197,8091.0
credential,0.65625,0.9545454545454546,0.7777777777777778,22.0
ddos,1.0,1.0,1.0,2017.0
dos,0.9991467576791809,0.9965957446808511,0.9978696207925011,1175.0
ransomware,0.0,0.0,0.0,2.0
recon,0.9894578313253012,0.9954545454545455,0.9924471299093656,660.0
shellshock,0.0,0.0,0.0,1.0
sql_injection,0.75,0.42857142857142855,0.5454545454545454,14.0
accuracy,0.9965,0.9965,0.9965,0.9965
macro avg,0.6570823336953756,0.6772405223744379,0.6573923097381206,12000.0
weighted avg,0.9966939238896685,0.9965,0.9964696327773509,12000.0
