,precision,recall,f1-score,support
backdoor,0.0,0.0,0.0,5.0
benign,0.4606741573033708,0.9111111111111111,0.6119402985074627,90.0
credential,0.0,0.0,0.0,22.0
mimicry,0.3684210526315789,0.56,0.4444444444444444,25.0
mitm,0.0,0.0,0.0,13.0
procmon_benign,1.0,1.0,1.0,2.0
ransomware,0.0,0.0,0.0,3.0
recon,0.0,0.0,0.0,18.0
reverse_shell,0.0,0.0,0.0,4.0
samba,0.0,0.0,0.0,11.0
shellshock,0.0,0.0,0.0,22.0
sql_injection,0.0,0.0,0.0,10.0
accuracy,0.43555555555555553,0.43555555555555553,0.43555555555555553,0.43555555555555553
macro avg,0.15242460082791248,0.20592592592592593,0.17136539524599226,225.0
weighted avg,0.2340942243248571,0.43555555555555553,0.30304772434125665,225.0
