,precision,recall,f1-score,support
backdoor,0.0,0.0,0.0,25.0
benign,0.29723991507430997,0.9859154929577465,0.4567699836867863,142.0
credential,0.0,0.0,0.0,97.0
dos,0.0,0.0,0.0,2.0
mimicry,0.0,0.0,0.0,47.0
mitm,0.0,0.0,0.0,26.0
procmon_benign,0.0,0.0,0.0,1.0
ransomware,0.0,0.0,0.0,23.0
recon,0.0,0.0,0.0,24.0
samba,0.0,0.0,0.0,45.0
shellshock,0.14705882352941177,0.10416666666666667,0.12195121951219512,48.0
sql_injection,0.0,0.0,0.0,25.0
accuracy,0.2871287128712871,0.2871287128712871,0.2871287128712871,0.2871287128712871
macro avg,0.037024894883643474,0.0908401799687011,0.048226766933248455,505.0
weighted avg,0.09755820093062134,0.2871287128712871,0.14002969548536442,505.0
