target_txid,depth,root_type,root_real_id,root_is_fraud,is_true_positive,n_nodes,chain_real_ids,chain_types,chain_ce
16HL5g6Byc4vcCv8ZSYd9ya9U3fskFFfYn,15,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,16,16HL5g6Byc4vcCv8ZSYd9ya9U3fskFFfYn|72632811|1EWVwzNmv5qL9TeSKnzYLcdK4fiELgQhho|72384062|115hcGDYGbbUjaB3Akb99yH2dXirkj3AHb|72333681|72333674|193pxgCK1rAKAhMdMWC99jfcRyGJr7bGzf|31240896|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,wallet|transaction|wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.987708|0.907559|0.887685|0.899811|0.0301127|-0.0169148|-0.0866377|-0.00961682|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
17qLafpipUVmLssXzm3hLgxB1mqfn2MJTU,13,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,14,17qLafpipUVmLssXzm3hLgxB1mqfn2MJTU|12778505|1KacrxgxFiYE1rjKB8PNEAbUZQp9uJGX9p|12715329|19BbknHNBfHZFbtcf1KNqvwrGxqNCJYD6V|12672860|12665120|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,wallet|transaction|wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.00957519|-0.0866374|-0.00961682|-0.0866377|-0.00961682|-0.0169155|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
1Detvh6CX4R2e36yNSKKX2FUFG8tNnFeje,13,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,14,1Detvh6CX4R2e36yNSKKX2FUFG8tNnFeje|70408671|1QCQe7LbFeAwoy8gVuMLN6munprkEWQz5P|67605387|16sDbUwm662QtuCH6P1gzxyZH1R7Yv1KHs|69603466|2365784|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,wallet|transaction|wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.989877|0.904826|0.984144|0.592008|-0.00961668|-0.0169155|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
70408671,12,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,13,70408671|1QCQe7LbFeAwoy8gVuMLN6munprkEWQz5P|67605387|16sDbUwm662QtuCH6P1gzxyZH1R7Yv1KHs|69603466|2365784|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,transaction|wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.904826|0.984144|0.592008|-0.00961668|-0.0169155|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
12778505,12,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,13,12778505|1KacrxgxFiYE1rjKB8PNEAbUZQp9uJGX9p|12715329|19BbknHNBfHZFbtcf1KNqvwrGxqNCJYD6V|12672860|12665120|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,transaction|wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.0866374|-0.00961682|-0.0866377|-0.00961682|-0.0169155|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
12662937,11,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,12,12662937|13ZWYwHd8uyCb89GBjqzdXcin3Sc95Czn4|12662939|12uczgNHH2L5YVrxXBubkQ4kWDd5hL2LUH|12665120|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.905868|0.00614614|-0.0866377|-0.00961682|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
12778573,11,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,12,12778573|18dzADDfgu41Zvro5yfFzYZLzgUXhSjFhE|12689875|18wAMiyBLyUaALjnp6gNkqv2xwBTCpcB2L|5663491|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.907458|0.00320002|-0.0866377|-0.00961682|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
12780368,11,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,12,12780368|1Pt7nkYY3rS5jnSoN7sCY8sB3pz8KKbhup|12780374|19CsHCdiqrMbococsgkoP76GrjqfvWvFAt|10695436|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.774243|-0.00961663|-0.0866377|-0.00961682|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
1KacrxgxFiYE1rjKB8PNEAbUZQp9uJGX9p,11,wallet,13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,True,True,12,1KacrxgxFiYE1rjKB8PNEAbUZQp9uJGX9p|12715329|19BbknHNBfHZFbtcf1KNqvwrGxqNCJYD6V|12672860|12665120|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ|228446106|13kDy7NYmGCA82AaWntBDgBiPqgz8Nrjwg,wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.00961682|-0.0866377|-0.00961682|-0.0169155|-0.0866377|-0.00961682|0.801935|0.478363|0.792345|0.987745|0.891629
19885fwTEXnW1r12MPXPhNfVtaWfmdPoHR,10,wallet,146r5W24RX4foDE8T8osTuKhhZmQRVbqTE,True,True,11,19885fwTEXnW1r12MPXPhNfVtaWfmdPoHR|179099727|1GUZ9oUWqFqqZXsgA5CpsjnBPq4WQAfxGw|8827141|15FfNJvETxBbrUvbe36JgcoijWjo3v8s7h|44457829|1JuUyWAxwbkWwHZPhNTBwJyNwzRphmVJM9|175509999|13fgWvyoEUyoT7CQEmEagdDQmNcdX8cGkr|174757904|146r5W24RX4foDE8T8osTuKhhZmQRVbqTE,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.990325|-0.0789889|0.981446|-0.08663|-0.00961682|-0.0866367|-0.00961682|0.911603|0.988003|0.891504
