target_txid,depth,root_type,root_real_id,root_is_fraud,is_true_positive,n_nodes,chain_real_ids,chain_types,chain_ce
210646674,9,wallet,1HtUPLQWu1k1ZBmcvmiS6D8qREzjaFcdoD,True,True,10,210646674|1AHb2haJfpKCpKA66NqLqyXidLmYRDaPno|210624712|1MMcnw1Y8UdmoNBzfjxpg3LVeYawK3kPxD|209805539|14oBBogKoXagzGawpjz5HNqDNPAyMxpT9J|209681252|1Fz1MrSMaqfz5gRFDvQhe5iat4pZns3xaM|209681254|1HtUPLQWu1k1ZBmcvmiS6D8qREzjaFcdoD,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.911328|0.989654|0.910629|0.989656|0.911609|0.989542|0.90984|0.988159|0.891567
13TDiJvmgwFj4ZUV7JY7KfHFhRWcLbY7Ax,8,wallet,14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,True,True,9,13TDiJvmgwFj4ZUV7JY7KfHFhRWcLbY7Ax|272411377|1GS7y1J4t5cGCWLWRq6MKaABP1eRUHrw8i|272153291|1E6La3GfEAFMXVJ6YjkAMGKykcpJVphLmn|272153298|1FjEN8uu2uPb4hhVTbDKcibeMnn9kVRUCw|152058261|14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.98897|0.91005|0.983985|0.910967|0.982299|0.909626|0.987338|0.89159
17ZLeueenchc8h54Stzbb7zgwC4u6puDuQ,8,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,9,17ZLeueenchc8h54Stzbb7zgwC4u6puDuQ|209493620|1DDtCPukd5dcH8udf3QqhjNB5qurHmioWu|209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.979543|0.910718|0.989561|0.91166|0.990013|0.91127|0.988872|0.891556
1A7wrb6xus1bP6en17KeX3d42k4gj1wVmr,8,wallet,1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,True,True,9,1A7wrb6xus1bP6en17KeX3d42k4gj1wVmr|363774346|1mYmrkkgAS65DdBLbMrGSTr47JLF7WbXD|363664942|1LTAoVTsazCtMnQbuS4NDsDLyMptGPBMZF|363307603|16E7dLusS6L9AvoDTMcYwk7w4anPjvpsSh|363092549|1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.989503|0.910237|0.989141|0.908038|0.968632|0.909146|0.98804|0.891562
1DTWaervHkEPhDDyHXTV2ab73LZVdKqEUn,8,wallet,1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,True,True,9,1DTWaervHkEPhDDyHXTV2ab73LZVdKqEUn|363774346|1mYmrkkgAS65DdBLbMrGSTr47JLF7WbXD|363664942|1LTAoVTsazCtMnQbuS4NDsDLyMptGPBMZF|363307603|16E7dLusS6L9AvoDTMcYwk7w4anPjvpsSh|363092549|1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.989503|0.910237|0.989141|0.908038|0.968632|0.909146|0.98804|0.891562
1FpaW6xDZz6o3cuNZTNu589EPifMHhLPFg,8,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,9,1FpaW6xDZz6o3cuNZTNu589EPifMHhLPFg|309553229|1LubGtRhE2GhoR3VYXnLRKwHG1JcN6m5B|210915044|3Q6vpPnVByYUibeDLUYMD2ExuMsErzYFxw|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.974896|0.912084|0.971247|0.910009|0.990013|0.91127|0.988872|0.891556
1LAzUoLsv8GvZAjyBkHfHAsrUpjk4RaHFD,8,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,9,1LAzUoLsv8GvZAjyBkHfHAsrUpjk4RaHFD|322441061|1LubGtRhE2GhoR3VYXnLRKwHG1JcN6m5B|210915044|3Q6vpPnVByYUibeDLUYMD2ExuMsErzYFxw|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.984777|0.912084|0.971247|0.910009|0.990013|0.91127|0.988872|0.891556
209493620,7,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,8,209493620|1DDtCPukd5dcH8udf3QqhjNB5qurHmioWu|209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.910718|0.989561|0.91166|0.990013|0.91127|0.988872|0.891556
54824221,7,wallet,13Mk7cjBhCAZvcfAKbRHEMas2UPk7Nrfqu,True,True,8,54824221|17C7Cqdr8eK61vyJXeYFapyqii5hFYoysD|288463486|1Nd4WoUggkZ71AYxsAVPChMzSztrFKduvY|288354980|12A7QqFVrYt945mnn5pT9aYP42AUZimXk3|288125316|13Mk7cjBhCAZvcfAKbRHEMas2UPk7Nrfqu,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.908942|0.982122|0.909468|0.980026|0.907198|0.985405|0.891716
15gY2BzZsZsnqibqghqkct9vrHC5Ef9EFd,6,wallet,1M8Fny5jqfuPXsnqxJjBF9QXTvnWoMdJnv,True,True,7,15gY2BzZsZsnqibqghqkct9vrHC5Ef9EFd|163918770|12pGtoaZSV32ogbDPgpGtbUuvbuFX6mRwp|166093184|1MupTTCbiUcRJt2RL9YSmZaiysMq4pzcCx|164771795|1M8Fny5jqfuPXsnqxJjBF9QXTvnWoMdJnv,wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.983276|0.905378|0.989034|0.896827|0.987179|0.891644
