target_txid,depth,root_type,root_real_id,root_is_fraud,is_true_positive,n_nodes,chain_real_ids,chain_types,chain_ce,chain_phi_add,chain_phi_asym
210646674,9,wallet,1HtUPLQWu1k1ZBmcvmiS6D8qREzjaFcdoD,True,True,10,210646674|1AHb2haJfpKCpKA66NqLqyXidLmYRDaPno|210624712|1MMcnw1Y8UdmoNBzfjxpg3LVeYawK3kPxD|209805539|14oBBogKoXagzGawpjz5HNqDNPAyMxpT9J|209681252|1Fz1MrSMaqfz5gRFDvQhe5iat4pZns3xaM|209681254|1HtUPLQWu1k1ZBmcvmiS6D8qREzjaFcdoD,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.404854|0.352375|0.404154|0.352377|0.405135|0.352264|0.403366|0.35088|0.385092,|0.202427|0.352375|0.202077|0.352377|0.202567|0.352264|0.201683|0.35088|0.385092,|0.0130996|0.00325859|0.148255|0.00139052|0.0189553|0.00142962|0.0726185|0.00571173|0.224704
13TDiJvmgwFj4ZUV7JY7KfHFhRWcLbY7Ax,8,wallet,14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,True,True,9,13TDiJvmgwFj4ZUV7JY7KfHFhRWcLbY7Ax|272411377|1GS7y1J4t5cGCWLWRq6MKaABP1eRUHrw8i|272153291|1E6La3GfEAFMXVJ6YjkAMGKykcpJVphLmn|272153298|1FjEN8uu2uPb4hhVTbDKcibeMnn9kVRUCw|152058261|14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.351691|0.403575|0.346707|0.404493|0.34502|0.403152|0.35006|0.385116,|0.351691|0.201788|0.346707|0.101123|0.34502|0.134384|0.35006|0.385116,||0.0547031|-0.00581372|0.00742973|0.025522|-0.0176173|-0.00813925|0.328109
17ZLeueenchc8h54Stzbb7zgwC4u6puDuQ,8,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,9,17ZLeueenchc8h54Stzbb7zgwC4u6puDuQ|209493620|1DDtCPukd5dcH8udf3QqhjNB5qurHmioWu|209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.342265|0.404243|0.352282|0.405186|0.352734|0.404796|0.351594|0.385082,|0.342265|0.202122|0.352282|0.135062|0.352734|0.202398|0.351594|0.385082,||0.0116297|0.0302615|0.00109035|-0.00127834|0.00500214|0.000579774|0.313612
1A7wrb6xus1bP6en17KeX3d42k4gj1wVmr,8,wallet,1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,True,True,9,1A7wrb6xus1bP6en17KeX3d42k4gj1wVmr|363774346|1mYmrkkgAS65DdBLbMrGSTr47JLF7WbXD|363664942|1LTAoVTsazCtMnQbuS4NDsDLyMptGPBMZF|363307603|16E7dLusS6L9AvoDTMcYwk7w4anPjvpsSh|363092549|1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.352224|0.403763|0.351863|0.401564|0.331353|0.402672|0.350761|0.385088,|0.352224|0.201881|0.351863|0.200782|0.331353|0.201336|0.350761|0.385088,||0.0100964|-7.2062e-05|0.0323735|-0.000575662|-0.0289893|0.0312383|0.244449
1DTWaervHkEPhDDyHXTV2ab73LZVdKqEUn,8,wallet,1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,True,True,9,1DTWaervHkEPhDDyHXTV2ab73LZVdKqEUn|363774346|1mYmrkkgAS65DdBLbMrGSTr47JLF7WbXD|363664942|1LTAoVTsazCtMnQbuS4NDsDLyMptGPBMZF|363307603|16E7dLusS6L9AvoDTMcYwk7w4anPjvpsSh|363092549|1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.352224|0.403763|0.351863|0.401564|0.331353|0.402672|0.350761|0.385088,|0.352224|0.201881|0.351863|0.200782|0.331353|0.201336|0.350761|0.385088,||0.0100964|-7.2062e-05|0.0323735|-0.000575662|-0.0289893|0.0312383|0.244449
1FpaW6xDZz6o3cuNZTNu589EPifMHhLPFg,8,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,9,1FpaW6xDZz6o3cuNZTNu589EPifMHhLPFg|309553229|1LubGtRhE2GhoR3VYXnLRKwHG1JcN6m5B|210915044|3Q6vpPnVByYUibeDLUYMD2ExuMsErzYFxw|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.337618|0.40561|0.333969|0.403535|0.352734|0.404796|0.351594|0.385082,|0.337618|0.101402|0.333969|0.201767|0.0503906|0.202398|0.351594|0.385082,||0.0172828|-0.000804722|-0.0126578|-0.000396473|0.00500214|0.000579774|0.313612
1LAzUoLsv8GvZAjyBkHfHAsrUpjk4RaHFD,8,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,9,1LAzUoLsv8GvZAjyBkHfHAsrUpjk4RaHFD|322441061|1LubGtRhE2GhoR3VYXnLRKwHG1JcN6m5B|210915044|3Q6vpPnVByYUibeDLUYMD2ExuMsErzYFxw|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.347499|0.40561|0.333969|0.403535|0.352734|0.404796|0.351594|0.385082,|0.347499|0.202805|0.333969|0.201767|0.0503906|0.202398|0.351594|0.385082,||0.234578|-0.00136542|-0.0126578|-0.000396448|0.00500214|0.000579774|0.313612
209493620,7,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,8,209493620|1DDtCPukd5dcH8udf3QqhjNB5qurHmioWu|209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.404243|0.352282|0.405186|0.352734|0.404796|0.351594|0.385082,|0.202122|0.352282|0.135062|0.352734|0.202398|0.351594|0.385082,|0.0116297|0.0302615|0.00109035|-0.00127834|0.00500214|0.000579774|0.313612
54824221,7,wallet,13Mk7cjBhCAZvcfAKbRHEMas2UPk7Nrfqu,True,True,8,54824221|17C7Cqdr8eK61vyJXeYFapyqii5hFYoysD|288463486|1Nd4WoUggkZ71AYxsAVPChMzSztrFKduvY|288354980|12A7QqFVrYt945mnn5pT9aYP42AUZimXk3|288125316|13Mk7cjBhCAZvcfAKbRHEMas2UPk7Nrfqu,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.402468|0.344844|0.402993|0.342748|0.400724|0.348126|0.385242,|0.201234|0.344844|0.100748|0.342748|0.200362|0.348126|0.128414,|0.172563|0.097324|0.0387669|0.0515223|0.148572|0.381266|-0.00282178
15gY2BzZsZsnqibqghqkct9vrHC5Ef9EFd,6,wallet,1M8Fny5jqfuPXsnqxJjBF9QXTvnWoMdJnv,True,True,7,15gY2BzZsZsnqibqghqkct9vrHC5Ef9EFd|163918770|12pGtoaZSV32ogbDPgpGtbUuvbuFX6mRwp|166093184|1MupTTCbiUcRJt2RL9YSmZaiysMq4pzcCx|164771795|1M8Fny5jqfuPXsnqxJjBF9QXTvnWoMdJnv,wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.345998|0.398904|0.351755|0.390352|0.349901|0.385169,|0.345998|0.0797808|0.351755|0.0975881|0.349901|0.192585,||-0.0216587|0.16498|-0.00683506|-0.0235291|0.10824
