target_txid,depth,root_type,root_real_id,root_is_fraud,is_true_positive,n_nodes,chain_real_ids,chain_types,chain_ce,chain_phi_add,chain_phi_asym
210646674,9,wallet,1HtUPLQWu1k1ZBmcvmiS6D8qREzjaFcdoD,True,True,10,210646674|1AHb2haJfpKCpKA66NqLqyXidLmYRDaPno|210624712|1MMcnw1Y8UdmoNBzfjxpg3LVeYawK3kPxD|209805539|14oBBogKoXagzGawpjz5HNqDNPAyMxpT9J|209681252|1Fz1MrSMaqfz5gRFDvQhe5iat4pZns3xaM|209681254|1HtUPLQWu1k1ZBmcvmiS6D8qREzjaFcdoD,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.297304|0.414875|0.284311|0.414818|0.292117|0.414666|0.276148|0.37395|0.280884,|0.148652|0.414875|0.142155|0.414818|0.146058|0.414666|0.138074|0.37395|0.280884,|-6.85453e-06|0.000111818|0.000107616|6.13928e-05|-0.00101379|0.000748038|0.0453059|0.297773|0.0856864
209493620,7,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,8,209493620|1DDtCPukd5dcH8udf3QqhjNB5qurHmioWu|209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.287585|0.414818|0.294449|0.414834|0.288644|0.409435|0.281018,|0.143792|0.414818|0.0981498|0.414834|0.144322|0.409435|0.281018,|0.0256834|0.0187575|-0.000295063|0.0144553|-0.000889271|0.202446|0.399566
54824221,7,wallet,19Yp2Zt8uwu1ctRmEeC8A8F8iUVWe4S84M,True,True,8,54824221|17C7Cqdr8eK61vyJXeYFapyqii5hFYoysD|288463486|1Nd4WoUggkZ71AYxsAVPChMzSztrFKduvY|288354980|12A7QqFVrYt945mnn5pT9aYP42AUZimXk3|288125316|19Yp2Zt8uwu1ctRmEeC8A8F8iUVWe4S84M,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.287659|0.414333|0.292069|0.414425|0.285208|0.406805|0.281141,|0.143829|0.414333|0.0730173|0.414425|0.142604|0.406805|0.0937137,|-0.00474039|-0.00116605|0.00344196|-0.0101644|-0.00452271|0.215157|0.00112569
363664942,5,wallet,1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,True,True,6,363664942|1LTAoVTsazCtMnQbuS4NDsDLyMptGPBMZF|363307603|16E7dLusS6L9AvoDTMcYwk7w4anPjvpsSh|363092549|1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,transaction|wallet|transaction|wallet|transaction|wallet,|0.233558|0.40089|0.276873|0.384623|0.280884,|0.116779|0.40089|0.138436|0.384623|0.280884,|-0.134487|-0.433393|-0.201636|0.516854|0.140002
209493623,5,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,6,209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,transaction|wallet|transaction|wallet|transaction|wallet,|0.294449|0.414834|0.288644|0.409435|0.281018,|0.0981498|0.414834|0.144322|0.409435|0.281018,|-0.000295063|0.0144553|-0.000889271|0.202446|0.399566
85254409,5,wallet,14q7TVHemXU8mzg6Lb7UCohxL7u9huhYyd,True,True,6,85254409|1NVEJCqE5nZdo53QBM1ymRkM9bxGHxeiqM|84752783|1Dhvyd3efW1cYEo3xTymMjy8PKW9DnMx9J|84368623|14q7TVHemXU8mzg6Lb7UCohxL7u9huhYyd,transaction|wallet|transaction|wallet|transaction|wallet,|0.291742|0.414433|0.286906|0.409409|0.281079,|0.145871|0.414433|0.143453|0.409409|0.281079,|1.2219e-05|2.86102e-06|-0.011369|0.0815729|0.391259
163807964,5,wallet,12gzUoqNsPuVHW2N8WM65gVF92heDQHMJS,True,True,6,163807964|13FCZb6mwQupCscxmqwRgAg4i4T4thiWoV|163653557|1HqLxmqiF3WYuzi9ghKNQgvN7LHgF632kj|163653560|12gzUoqNsPuVHW2N8WM65gVF92heDQHMJS,transaction|wallet|transaction|wallet|transaction|wallet,|0.294066|0.414875|0.296327|0.414876|0.27997,|0.147033|0.0230486|0.148163|0.414876|0.139985,|0.000131786|1.32455e-08|8.62777e-05|3.69549e-06|0.496924
54878909,5,wallet,1DJ7dtnNEuGhKdKu6Sw5L34SRrpicG6aw3,True,True,6,54878909|1ba7EWdp5w6a6cTDtCToBfzySAixb8EvM|63069519|16CSZmdfRq4Z6NZDVWRCMDX9ZCkz4q23Kf|54759799|1DJ7dtnNEuGhKdKu6Sw5L34SRrpicG6aw3,transaction|wallet|transaction|wallet|transaction|wallet,|0.251613|0.396125|0.283515|0.404768|0.281147,|0.125807|0.396125|0.141758|0.202384|0.281147,|0.285932|-0.000127554|-0.246257|-0.140693|0.278894
219565918,5,wallet,19s4KfPSSeLXorkEgcm6W4SR2iRs2FqfyL,True,True,6,219565918|1F6AVPo9rnuMcvsArAR9AHBg2zMD24dZ4e|219543494|1PXTsK9NoznnN2GoWG7gUfwYVWxBmQvYxu|218166682|19s4KfPSSeLXorkEgcm6W4SR2iRs2FqfyL,transaction|wallet|transaction|wallet|transaction|wallet,|0.285032|0.409929|0.284559|0.399188|0.281185,|0.0109628|0.409929|0.0569118|0.399188|0.0147992,|0.000476305|-0.0111324|0.0238045|0.0154104|0.000225368
94654272,3,wallet,1MUaX1Aq3Zr8o2GUH1dsyhQTtbhTe8nFFK,True,True,4,94654272|1GM6HKftDnXb2qk7dSEELFabxyGXApR1a5|94372683|1MUaX1Aq3Zr8o2GUH1dsyhQTtbhTe8nFFK,transaction|wallet|transaction|wallet,|0.278257|0.382018|0.280809,|0.139129|0.382018|0.280809,|-0.14191|0.649679|0.222655
175046769,3,wallet,16KaRJpecD5xe9bpSqKiGdZig84aP4WAWV,True,True,4,175046769|1CB6C2B8RhoNPpfEbEnQvSVYvuqjDLMU73|174759163|16KaRJpecD5xe9bpSqKiGdZig84aP4WAWV,transaction|wallet|transaction|wallet,|0.286128|0.401911|0.280857,|0.143064|0.401911|0.280857,|0.00235277|0.00147557|0.333837
205920729,3,wallet,1PMWKzRpmsESyAdf2QutevLhbYzueBwmh4,True,True,4,205920729|1CpDhHzAvLnjU6crBde5LN2ELAhE2jbeof|175759710|1PMWKzRpmsESyAdf2QutevLhbYzueBwmh4,transaction|wallet|transaction|wallet,|0.286619|0.40299|0.280861,|0.143309|0.40299|0.280861,|0.00243685|0.00127649|0.349147
216384922,3,wallet,1cYjN4WeM58cFF52KRXAs9zZKT26dzPYu,True,True,4,216384922|1D4BiGayTzyZDBtwJCYf7GLk6QkrGW8xhX|175758299|1cYjN4WeM58cFF52KRXAs9zZKT26dzPYu,transaction|wallet|transaction|wallet,|0.287773|0.401333|0.280859,|0.143886|0.401333|0.280859,|0.00403443|0.00153327|0.344209
236114959,3,wallet,1EfZWjX6QYNpTWdVM6RyEfoWqowcvFvasA,True,True,4,236114959|1JvxaCSwj3RC1b8R16YQQEdYXgsrbwtHaC|234836238|1EfZWjX6QYNpTWdVM6RyEfoWqowcvFvasA,transaction|wallet|transaction|wallet,|0.294796|0.414876|0.27341,|0.147398|0.414876|0.136705,|3.9041e-05|2.72989e-05|0.499988
244629239,3,wallet,12CV5js5iBA3viX5SmLukcwa67tS65wbuT,True,True,4,244629239|1EhoHN8rq8GGA11UVHSCy1SWcoohwGyqk5|243781008|12CV5js5iBA3viX5SmLukcwa67tS65wbuT,transaction|wallet|transaction|wallet,|0.289667|0.409783|0.280946,|0.144833|0.409783|0.280946,|0.00164071|0.00128305|0.424924
99258743,3,wallet,1JJTrhwDrEeSbcfNHdqvMJG5eXRyrPbPsq,True,True,4,99258743|15twigU4MNMdy4qyE7P3tssRxQVr5AjbxN|99258746|1JJTrhwDrEeSbcfNHdqvMJG5eXRyrPbPsq,transaction|wallet|transaction|wallet,|0.284386|0.408764|0.281041,|0.142193|0.408764|0.140521,|-0.204027|0.155782|0.223955
