target_txid,depth,root_type,root_real_id,root_is_fraud,is_true_positive,n_nodes,chain_real_ids,chain_types,chain_ce,chain_phi_add,chain_phi_asym
14HwW2rsfw8QMMPAvmCdVrTSC27XY3wawR,10,wallet,14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,True,True,11,14HwW2rsfw8QMMPAvmCdVrTSC27XY3wawR|163865631|13VjRLSGPtJALvY8ESSxdD9cEUL5qdQEgU|8118124|1FmTb6sUcsXbKC5kXvRteH4RjrJsA19928|163691027|1GDYsY9M7Mg9SiF2D3vXAAAdDH8W3u27ku|272156963|3MbiUzrxs7tkpBZa57iCh3L2yvdCHTTDNf|152058261|14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0151954|0.0952395|0.0158818|0.0949164|0.0106146|0.0952756|0.0161358|0.0949908|0.0168911|0.0887767,|0.0151954|0.0119049|0.0158818|0.0474582|0.0106146|0.0952756|0.0161358|0.0949908|0.00422277|0.0887767,|-0.0146369|0.00336763|0.609778|0.258653|-0.0574574|-0.0117438|0.0123475|0.0150488|0.0122928|0.0150563
13TDiJvmgwFj4ZUV7JY7KfHFhRWcLbY7Ax,8,wallet,14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,True,True,9,13TDiJvmgwFj4ZUV7JY7KfHFhRWcLbY7Ax|272411377|1GS7y1J4t5cGCWLWRq6MKaABP1eRUHrw8i|272153291|1E6La3GfEAFMXVJ6YjkAMGKykcpJVphLmn|272153298|1FjEN8uu2uPb4hhVTbDKcibeMnn9kVRUCw|152058261|14AWWm2ME4T38KiTE6Ju4bvEVem7ByiNvd,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0146063|0.0952365|0.0145639|0.0952244|0.0163255|0.0951495|0.0168911|0.0887767,|0.0146063|0.0476183|0.0145639|0.0238061|0.0163255|0.0317165|0.0168911|0.0887767,|0.180556|0.202681|0.0691808|0.0020268|0.333903|0.00465496|0.823451|0.184844
17ZLeueenchc8h54Stzbb7zgwC4u6puDuQ,8,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,9,17ZLeueenchc8h54Stzbb7zgwC4u6puDuQ|209493620|1DDtCPukd5dcH8udf3QqhjNB5qurHmioWu|209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0156218|0.0950561|0.0149281|0.0952787|0.0128237|0.0952682|0.0168916|0.0887322,|0.0156218|0.0475281|0.0149281|0.0317596|0.0128237|0.0476341|0.0168916|0.0887322,|0.0538012|0.319913|0.475512|0.00190508|0.0030933|0.0175702|0.870355|0.0939244
1A7wrb6xus1bP6en17KeX3d42k4gj1wVmr,8,wallet,1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,True,True,9,1A7wrb6xus1bP6en17KeX3d42k4gj1wVmr|363774346|1mYmrkkgAS65DdBLbMrGSTr47JLF7WbXD|363664942|1LTAoVTsazCtMnQbuS4NDsDLyMptGPBMZF|363307603|16E7dLusS6L9AvoDTMcYwk7w4anPjvpsSh|363092549|1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0143902|0.0952536|0.0143942|0.0952438|0.0125135|0.0952719|0.0168845|0.088707,|0.0143902|0.0476268|0.0143942|0.0476219|0.0125135|0.047636|0.0168845|0.088707,|0.0475307|0.23239|0.188305|0.27332|0.000749528|0.119373|0.876206|0.102425
1DTWaervHkEPhDDyHXTV2ab73LZVdKqEUn,8,wallet,1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,True,True,9,1DTWaervHkEPhDDyHXTV2ab73LZVdKqEUn|363774346|1mYmrkkgAS65DdBLbMrGSTr47JLF7WbXD|363664942|1LTAoVTsazCtMnQbuS4NDsDLyMptGPBMZF|363307603|16E7dLusS6L9AvoDTMcYwk7w4anPjvpsSh|363092549|1EY2yuaHiFs3GmetrvkdXzR3Q32F6fDym1,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0143902|0.0952536|0.0143942|0.0952438|0.0125135|0.0952719|0.0168845|0.088707,|0.0143902|0.0476268|0.0143942|0.0476219|0.0125135|0.047636|0.0168845|0.088707,|0.0473652|0.23295|0.188305|0.27332|0.000749528|0.119373|0.876206|0.102425
1K4XFbP3kPn5ro6BKS4tHnYeNLdBLFB4C2,8,wallet,1Me61RgR3CVJycAtGjHdq1VgXMAAvymk69,True,True,9,1K4XFbP3kPn5ro6BKS4tHnYeNLdBLFB4C2|163867633|14VhcCjLtio1RQneJTvWZxjD7ATe9hGpp1|163867640|1PQNneB4qyJhipPZt4vi4LdURQ3r8vWauL|89199852|115KU5zFdghC4GdoU4d7yknxTb71LW9Sd|145395709|1Me61RgR3CVJycAtGjHdq1VgXMAAvymk69,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0149515|0.095253|0.0134862|0.0952908|0.0141904|0.0951439|0.0168678|0.0888312,|0.0149515|0.0105837|0.0134862|0.0238227|0.0141904|0.047572|0.0168678|0.0888312,|0.113574|0.0017735|0.0315145|0.000931874|0.191398|0.0101375|0.819288|0.0715457
13v1xjM7tiNysi4CGrco5AmDtqc3GVR51k,6,wallet,16cWB3gC3toko8muivad6ZLkStu7Voxvig,True,True,7,13v1xjM7tiNysi4CGrco5AmDtqc3GVR51k|73405613|18JjnwkSRnjDbLCzvNX7jJT535JU9EvVyN|73155254|1HRo3uoL77E4oaX4kG1sqdq6dFR8QdmG2M|71785244|16cWB3gC3toko8muivad6ZLkStu7Voxvig,wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0167858|0.0927267|0.016151|0.0932202|0.0168059|0.0889799,|0.0167858|0.0154545|0.016151|0.018644|0.0168059|0.0444899,|0.810826|0.00558625|0.675367|0.0161371|0.499137|-0.0700729
17DA5VwRQr6wAkGPjVH8sRLv6TAs17NoUn,6,wallet,1AZEjrTjQejL2mL7NGiP2zV1xjfS13eU2E,True,True,7,17DA5VwRQr6wAkGPjVH8sRLv6TAs17NoUn|105991496|1LPjRfi7z7kKxKA67ssoejbWPvHh2uXMYn|105605773|1KkAYhfEmAwBezyeQugP7jmebhrwxrGxi9|105434883|1AZEjrTjQejL2mL7NGiP2zV1xjfS13eU2E,wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0167951|0.0918262|0.0149845|0.0951137|0.0168271|0.0889943,|0.0167951|0.0229566|0.0149845|0.0475568|0.0168271|0.0889943,|0.82187|-0.00155661|-0.394321|0.101863|0.800036|-0.0258292
1FpaW6xDZz6o3cuNZTNu589EPifMHhLPFg,6,wallet,1KaQ3eqSBGPcSDKbXjqZpshoVfzBbZefqk,True,True,7,1FpaW6xDZz6o3cuNZTNu589EPifMHhLPFg|309553229|1LubGtRhE2GhoR3VYXnLRKwHG1JcN6m5B|210915044|3Q6vpPnVByYUibeDLUYMD2ExuMsErzYFxw|208931421|1KaQ3eqSBGPcSDKbXjqZpshoVfzBbZefqk,wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0140722|0.0952656|0.0131999|0.0953009|0.0168964|0.0887322,|0.0140722|0.0238164|0.0131999|0.0476505|0.00241377|0.0887322,|-0.0538445|-0.000212118|-0.00232446|0.000213832|5.30481e-06|3.82066e-05
1J4zJzYPKJmBiRJfEFcQNjNtsjfhbnpNnM,6,wallet,1PT9GpXN4x1FsorPGT3Xdx9ju51miv6Sor,True,True,7,1J4zJzYPKJmBiRJfEFcQNjNtsjfhbnpNnM|355090489|14rFnEeajgrkUGN6BAcxQnTL1GENjgXR96|182313355|15C4iGjiERw2ZwaTrhsRmsgSFBydKjPoQd|355102230|1PT9GpXN4x1FsorPGT3Xdx9ju51miv6Sor,wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.015752|0.0952902|0.0157049|0.0952885|0.0168635|0.0888677,|0.015752|0.0476451|0.0157049|0.0476443|0.0033727|0.0888677,|-0.0265328|0.307583|-0.00661236|0.262049|0.000432599|0.000166416
