target_txid,depth,root_type,root_real_id,root_is_fraud,is_true_positive,n_nodes,chain_real_ids,chain_types,chain_ce
15tTA9CaZMArZfHZK8KLqmC56nhWBRhdUc,14,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,15,15tTA9CaZMArZfHZK8KLqmC56nhWBRhdUc|73219647|1PudLTMFJLhaiqUxLu5dTUkYqJMBsJgcJw|73219650|17GDkXX8F3C2VdFmeBPWM8tR4uLaEibERS|27404245|15hvYbZmzkjGFeryjieuQgr9UAbvEPnq1Z|73031052|1A4gg6j56WovKtPB3CPUF7qYbkm2tE6QGE|8993505|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0062784|0.0248342|-0.00432989|-0.159692|-0.0046199|-0.967277|0.021396|-0.968781|-0.00175723|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
16HL5g6Byc4vcCv8ZSYd9ya9U3fskFFfYn,13,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,14,16HL5g6Byc4vcCv8ZSYd9ya9U3fskFFfYn|72632811|1EWVwzNmv5qL9TeSKnzYLcdK4fiELgQhho|72384062|115hcGDYGbbUjaB3Akb99yH2dXirkj3AHb|72333681|72333674|193pxgCK1rAKAhMdMWC99jfcRyGJr7bGzf|31240896|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,wallet|transaction|wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.000295758|0.0214298|-0.000754744|0.028554|-0.000391454|-0.0541223|-0.968781|-0.00255653|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
1Cr53Doa3kJiricseWoepF93Lb9GmKu14W,13,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,14,1Cr53Doa3kJiricseWoepF93Lb9GmKu14W|40764117|15n2wTzdWMdRNGxtEMAEBkHRz4RvG8eamu|13340480|72323512|1CiQ6CJ42AqgYJW4acMG4kcxQ5xgs8tFQu|71994276|1FiCSEwS1RQx44CFyWtrehrUEy8WS8xZMJ|31240896|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.00426453|-0.0248672|-0.00412777|-0.0176456|-0.804086|0.000576466|-0.968781|-0.00255653|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
12778668,11,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,12,12778668|15nyrZnmwx5DcUhzXb8ohitHcVmkN4P4hQ|12778670|1B7f26ZQguHg6a7TCd9ShkvpBnt3mdUYHJ|12804394|13GV6SjdArRU5cafDvK7u71iS43MGFHoie|69476252|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.933304|-0.000961185|-0.968774|0.00205389|-0.968781|-0.0027338|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
70408671,10,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,11,70408671|1QCQe7LbFeAwoy8gVuMLN6munprkEWQz5P|67605387|16sDbUwm662QtuCH6P1gzxyZH1R7Yv1KHs|69603466|2365784|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,transaction|wallet|transaction|wallet|transaction|transaction|wallet|transaction|wallet|transaction|wallet,|0.0281217|-0.00109607|-0.568019|0.0044632|-0.0541287|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
12662937,9,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,10,12662937|13ZWYwHd8uyCb89GBjqzdXcin3Sc95Czn4|12662939|12uczgNHH2L5YVrxXBubkQ4kWDd5hL2LUH|12665120|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.274635|0.00469086|-0.968781|-0.00230721|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
12778573,9,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,10,12778573|18dzADDfgu41Zvro5yfFzYZLzgUXhSjFhE|12689875|18wAMiyBLyUaALjnp6gNkqv2xwBTCpcB2L|5663491|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.228469|0.00440738|-0.968781|-0.00254005|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
12780368,9,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,10,12780368|1Pt7nkYY3rS5jnSoN7sCY8sB3pz8KKbhup|12780374|19CsHCdiqrMbococsgkoP76GrjqfvWvFAt|10695436|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.00547564|0.00341371|-0.968781|-0.0024412|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
19aeaUawh3hsjLa8rHS2oqscXdGNVz8XEb,8,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,9,19aeaUawh3hsjLa8rHS2oqscXdGNVz8XEb|97729143|1Bg8hBdzDG2TJweHZtTttZZDEdwv8WbEzS|9969789|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,wallet|transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.00509968|-0.968781|0.00487933|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
209493620,7,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,8,209493620|1DDtCPukd5dcH8udf3QqhjNB5qurHmioWu|209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0267336|0.000171632|0.0304298|0.000642329|0.0281441|0.000262052|0.00785172
54824221,7,wallet,19Yp2Zt8uwu1ctRmEeC8A8F8iUVWe4S84M,True,True,8,54824221|17C7Cqdr8eK61vyJXeYFapyqii5hFYoysD|288463486|1Nd4WoUggkZ71AYxsAVPChMzSztrFKduvY|288354980|12A7QqFVrYt945mnn5pT9aYP42AUZimXk3|288125316|19Yp2Zt8uwu1ctRmEeC8A8F8iUVWe4S84M,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|0.0236355|0.00144005|0.0242162|-0.00118357|0.0217026|-0.000450552|0.00817072
289025367,7,wallet,1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,True,True,8,289025367|1NquSFhvmj1L7BSGt9f36ZY5okgdL66B6b|61813159|17A16QmavnUfCW11DAApiJxp7ARnxN5pGX|293925926|14i2FEoaSPfKB66sfMdtNyYDcSDQ3MfnYY|294303111|1J2qkV34FBYoHaVrQEtGUxGp8JAJRHnubZ,transaction|wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.968781|0.0153291|-0.968781|0.0321522|-0.944716|-0.00427806|0.00798225
17DA5VwRQr6wAkGPjVH8sRLv6TAs17NoUn,6,wallet,1AZEjrTjQejL2mL7NGiP2zV1xjfS13eU2E,True,True,7,17DA5VwRQr6wAkGPjVH8sRLv6TAs17NoUn|105991496|1LPjRfi7z7kKxKA67ssoejbWPvHh2uXMYn|105605773|1KkAYhfEmAwBezyeQugP7jmebhrwxrGxi9|105434883|1AZEjrTjQejL2mL7NGiP2zV1xjfS13eU2E,wallet|transaction|wallet|transaction|wallet|transaction|wallet,|-0.000923693|0.0165204|-0.00241411|0.0244482|-0.000250429|0.00838721
175757130,5,wallet,1Jfe3GPejnM3Dng2LkGH5MFNaPSZmRYaLm,True,True,6,175757130|144i3J7HbsciBZXh3tbSijmgGmjBrQpJeT|175444963|141RLAHAGpzSCUc4Aq4ZEQ92BELDLX5yDg|190444615|1Jfe3GPejnM3Dng2LkGH5MFNaPSZmRYaLm,transaction|wallet|transaction|wallet|transaction|wallet,|-0.968781|-0.00110635|0.0227166|0.000645429|0.00758392
209493623,5,wallet,1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,True,True,6,209493623|1A88BK4ikW3GABn2YEYt9bxcDG5nBdpBrr|209709674|15KsG2sWmrnmUD3D6ddfxKa168p4Q9XrX7|24051859|1KZMpAEiyyJjDYZP2pQXtQH2zfv1syhEaX,transaction|wallet|transaction|wallet|transaction|wallet,|0.0304298|0.000642329|0.0281441|0.000262052|0.00785172
273536494,5,wallet,1LErdMsTRdXGXHgM5azfxRU46ziE17qjWv,True,True,6,273536494|125poT1Bg1h5wbAU7FQ76hZnFCmSg3s6h8|276941671|1ENf2GD2hEyCUGoiUKU7e45PAEv2y3D3j1|268793353|1LErdMsTRdXGXHgM5azfxRU46ziE17qjWv,transaction|wallet|transaction|wallet|transaction|wallet,|0.0271448|-0.00128573|0.0177936|0.000151247|0.0078792
85254409,5,wallet,14q7TVHemXU8mzg6Lb7UCohxL7u9huhYyd,True,True,6,85254409|1NVEJCqE5nZdo53QBM1ymRkM9bxGHxeiqM|84752783|1Dhvyd3efW1cYEo3xTymMjy8PKW9DnMx9J|84368623|14q7TVHemXU8mzg6Lb7UCohxL7u9huhYyd,transaction|wallet|transaction|wallet|transaction|wallet,|0.0305687|0.00074029|0.0293412|0.000457257|0.00798225
54878909,5,wallet,1DJ7dtnNEuGhKdKu6Sw5L34SRrpicG6aw3,True,True,6,54878909|1ba7EWdp5w6a6cTDtCToBfzySAixb8EvM|63069519|16CSZmdfRq4Z6NZDVWRCMDX9ZCkz4q23Kf|54759799|1DJ7dtnNEuGhKdKu6Sw5L34SRrpicG6aw3,transaction|wallet|transaction|wallet|transaction|wallet,|0.0285904|0.00129583|0.0240557|-0.000264645|0.00816721
125poT1Bg1h5wbAU7FQ76hZnFCmSg3s6h8,4,wallet,1LErdMsTRdXGXHgM5azfxRU46ziE17qjWv,True,True,5,125poT1Bg1h5wbAU7FQ76hZnFCmSg3s6h8|276941671|1ENf2GD2hEyCUGoiUKU7e45PAEv2y3D3j1|268793353|1LErdMsTRdXGXHgM5azfxRU46ziE17qjWv,wallet|transaction|wallet|transaction|wallet,|-0.00128573|0.0177936|0.000151247|0.0078792
12FdV47eMy7p5saCvLv4A7CLLt5rz3c9mE,4,wallet,1MbRAZ6hSBXJWDLtkRCFHKNvTg7TWSxttz,True,True,5,12FdV47eMy7p5saCvLv4A7CLLt5rz3c9mE|114626822|132Y194a45f32VKuwy7mgc2ASrMvpaeuom|114507940|1MbRAZ6hSBXJWDLtkRCFHKNvTg7TWSxttz,wallet|transaction|wallet|transaction|wallet,|0.000889003|0.0207363|-0.000496268|0.00822693
12papRsdzeff5gy55TpABRxDGzxkkGQyPy,4,wallet,19r1zpV27s8WmMnh5mABs8Mt5CuvuA317Q,True,True,5,12papRsdzeff5gy55TpABRxDGzxkkGQyPy|189984406|1263GdxEEhx446QgqNENmsLdPUFnQEM5PC|189984660|19r1zpV27s8WmMnh5mABs8Mt5CuvuA317Q,wallet|transaction|wallet|transaction|wallet,|-0.000195444|0.029599|0.00110817|0.00751865
